======================================================================
ANÁLISIS SINTÁCTICO - JORDAN SÁNCHEZ
Fecha: 27/11/2025 16:25:10
======================================================================

ERRORES SINTÁCTICOS:
Linea 2: token 'import' inesperado (tipo: IMPORT)
Linea 29: token ',' inesperado (tipo: COMMA)
Linea 29: token '5' inesperado (tipo: NUMBER)
Linea 29: token ']' inesperado (tipo: RBRACKET)
Linea 30: token 'for' inesperado (tipo: FOR)
Linea 30: token 'item' inesperado (tipo: ID)
Linea 30: token 'in' inesperado (tipo: IN)
Linea 30: token '0' inesperado (tipo: NUMBER)
Linea 30: token '{' inesperado (tipo: LBRACE)
Linea 31: token 'print' inesperado (tipo: ID)
Linea 31: token '(' inesperado (tipo: LPAREN)
Linea 31: token 'numeros' inesperado (tipo: ID)
Linea 31: token ')' inesperado (tipo: RPAREN)
Linea 32: token '}' inesperado (tipo: RBRACE)
Linea 35: token 'let' inesperado (tipo: LET)
Linea 35: token 'datos' inesperado (tipo: ID)
Linea 35: token ':' inesperado (tipo: COLON)
Linea 35: token '[' inesperado (tipo: LBRACKET)
Linea 35: token 'String' inesperado (tipo: ID)
Linea 35: token ':' inesperado (tipo: COLON)
Linea 35: token 'Int' inesperado (tipo: ID)
Linea 35: token ']' inesperado (tipo: RBRACKET)
Linea 35: token '=' inesperado (tipo: ASSIGN)
Linea 35: token '[' inesperado (tipo: LBRACKET)
Linea 35: token '"edad"' inesperado (tipo: STRING)
Linea 35: token ':' inesperado (tipo: COLON)
Linea 35: token '25' inesperado (tipo: NUMBER)
Linea 35: token ',' inesperado (tipo: COMMA)
Linea 35: token '"año"' inesperado (tipo: STRING)
Linea 35: token ':' inesperado (tipo: COLON)
Linea 35: token '2025' inesperado (tipo: NUMBER)
Linea 35: token ']' inesperado (tipo: RBRACKET)
Linea 38: token 'class' inesperado (tipo: CLASS)
Linea 38: token 'Persona' inesperado (tipo: ID)
Linea 38: token '{' inesperado (tipo: LBRACE)
Linea 39: token 'var' inesperado (tipo: VAR)
Linea 39: token 'nombre' inesperado (tipo: ID)
Linea 39: token ':' inesperado (tipo: COLON)
Linea 39: token 'String' inesperado (tipo: ID)
Linea 39: token '=' inesperado (tipo: ASSIGN)
Linea 39: token '"Juan"' inesperado (tipo: STRING)
Linea 40: token 'var' inesperado (tipo: VAR)
Linea 40: token 'edad' inesperado (tipo: ID)
Linea 40: token ':' inesperado (tipo: COLON)
Linea 40: token 'Int' inesperado (tipo: ID)
Linea 40: token '=' inesperado (tipo: ASSIGN)
Linea 40: token '25' inesperado (tipo: NUMBER)
Linea 41: token '}' inesperado (tipo: RBRACE)
Linea 43: token 'let' inesperado (tipo: LET)
Linea 43: token 'persona' inesperado (tipo: ID)
Linea 43: token '=' inesperado (tipo: ASSIGN)
Linea 43: token 'Persona' inesperado (tipo: ID)
Linea 43: token '(' inesperado (tipo: LPAREN)
Linea 43: token ')' inesperado (tipo: RPAREN)
Linea 44: token 'print' inesperado (tipo: ID)
Linea 44: token '(' inesperado (tipo: LPAREN)
Linea 44: token 'persona' inesperado (tipo: ID)
Linea 44: token '.' inesperado (tipo: DOT)
Linea 44: token 'nombre' inesperado (tipo: ID)
Linea 44: token ')' inesperado (tipo: RPAREN)
Linea desconocida: fin de archivo inesperado

